sex;age;race;marital-status;education;native-country;workclass;occupation;salary-class
Female;0-19;Black;Never-married;Secondary education;North America;Private;Priv-house-serv;<=50K
Female;0-19;Black;Never-married;Secondary education;North America;Private;Sales;<=50K
Female;0-19;Black;Never-married;Secondary education;North America;Private;Sales;<=50K
Female;0-19;Black;Never-married;Secondary education;North America;Private;Sales;<=50K
Female;0-19;Black;Never-married;Secondary education;North America;Private;Sales;<=50K
Female;0-19;Black;Never-married;Secondary education;North America;Private;Sales;<=50K
Female;0-19;Black;Never-married;Secondary education;North America;Private;Sales;<=50K
Female;0-19;Black;Never-married;Secondary education;North America;Private;Sales;<=50K
Female;0-19;Black;Never-married;Secondary education;North America;Private;Sales;<=50K
Female;0-19;Black;Never-married;Secondary education;North America;Private;Sales;<=50K
Female;0-19;Black;Never-married;Secondary education;North America;Private;Sales;<=50K
Female;0-19;Black;Never-married;Secondary education;North America;Private;Sales;<=50K
Female;0-19;Black;Never-married;Secondary education;North America;Private;Sales;<=50K
Female;0-19;Black;Never-married;Secondary education;North America;Private;Sales;<=50K
Female;0-19;Black;Never-married;Secondary education;North America;Private;Sales;<=50K
Female;0-19;Black;Never-married;Secondary education;North America;Private;Sales;<=50K
Female;0-19;Black;Never-married;Secondary education;North America;Private;Sales;<=50K
Female;0-19;Black;Never-married;Secondary education;North America;Private;Sales;<=50K
Female;0-19;Black;Never-married;Secondary education;North America;Private;Sales;<=50K
Female;0-19;Black;Never-married;Secondary education;North America;Private;Sales;<=50K
Female;0-19;Black;Never-married;Secondary education;North America;Private;Sales;<=50K
Female;0-19;Black;Never-married;Secondary education;North America;Private;Sales;<=50K
Female;0-19;Other;Never-married;Higher education;North America;Private;Adm-clerical;<=50K
Female;0-19;Other;Never-married;Higher education;North America;Private;Adm-clerical;<=50K
Female;0-19;Other;Never-married;Higher education;North America;Private;Adm-clerical;<=50K
Female;0-19;Other;Never-married;Higher education;North America;Private;Prof-specialty;<=50K
Female;0-19;Other;Never-married;Higher education;North America;Private;Sales;<=50K
Female;0-19;Other;Never-married;Secondary education;North America;Private;Adm-clerical;<=50K
Female;0-19;Other;Never-married;Secondary education;North America;Private;Handlers-cleaners;<=50K
Female;0-19;Other;Never-married;Secondary education;North America;Private;Prof-specialty;<=50K
Female;0-19;Other;Never-married;Secondary education;North America;Private;Sales;<=50K
Female;0-19;Other;Never-married;Secondary education;North America;Private;Sales;<=50K
Female;0-19;White;Divorced;Secondary education;North America;Private;Adm-clerical;<=50K
Female;0-19;White;Divorced;Secondary education;North America;Private;Craft-repair;<=50K
Female;0-19;White;Divorced;Secondary education;North America;Private;Other-service;<=50K
Female;0-19;White;Divorced;Secondary education;North America;Private;Other-service;<=50K
Female;0-19;White;Divorced;Secondary education;North America;Private;Other-service;<=50K
Female;0-19;White;Divorced;Secondary education;North America;Private;Sales;<=50K
Female;0-19;White;Married-civ-spouse;Secondary education;North America;Private;Adm-clerical;<=50K
Female;0-19;White;Married-civ-spouse;Secondary education;North America;Private;Adm-clerical;<=50K
Female;0-19;White;Married-civ-spouse;Secondary education;North America;Private;Adm-clerical;<=50K
Female;0-19;White;Married-civ-spouse;Secondary education;North America;Private;Adm-clerical;<=50K
Female;0-19;White;Married-civ-spouse;Secondary education;North America;Private;Craft-repair;<=50K
Female;0-19;White;Married-civ-spouse;Secondary education;North America;Private;Exec-managerial;<=50K
Female;0-19;White;Married-civ-spouse;Secondary education;North America;Private;Priv-house-serv;<=50K
Female;0-19;White;Married-civ-spouse;Secondary education;North America;Private;Sales;<=50K
Female;0-19;White;Married-civ-spouse;Secondary education;North America;Private;Sales;<=50K
Female;0-19;White;Married-civ-spouse;Secondary education;North America;Private;Sales;<=50K
Female;0-19;White;Never-married;Higher education;North America;Local-gov;Adm-clerical;<=50K
Female;0-19;White;Never-married;Higher education;North America;Local-gov;Adm-clerical;<=50K
Female;0-19;White;Never-married;Higher education;North America;Local-gov;Adm-clerical;<=50K
Female;0-19;White;Never-married;Higher education;North America;Local-gov;Prof-specialty;<=50K
Female;0-19;White;Never-married;Higher education;North America;Local-gov;Prof-specialty;<=50K
Female;0-19;White;Never-married;Higher education;North America;Local-gov;Sales;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Adm-clerical;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Adm-clerical;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Adm-clerical;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Adm-clerical;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Adm-clerical;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Adm-clerical;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Adm-clerical;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Adm-clerical;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Adm-clerical;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Adm-clerical;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Adm-clerical;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Adm-clerical;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Adm-clerical;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Adm-clerical;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Adm-clerical;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Adm-clerical;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Adm-clerical;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Adm-clerical;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Adm-clerical;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Adm-clerical;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Adm-clerical;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Adm-clerical;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Adm-clerical;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Adm-clerical;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Adm-clerical;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Adm-clerical;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Adm-clerical;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Adm-clerical;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Adm-clerical;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Adm-clerical;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Adm-clerical;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Adm-clerical;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Adm-clerical;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Adm-clerical;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Adm-clerical;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Adm-clerical;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Adm-clerical;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Adm-clerical;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Adm-clerical;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Adm-clerical;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Adm-clerical;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Adm-clerical;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Adm-clerical;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Adm-clerical;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Adm-clerical;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Adm-clerical;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Adm-clerical;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Adm-clerical;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Adm-clerical;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Adm-clerical;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Adm-clerical;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Adm-clerical;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Adm-clerical;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Adm-clerical;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Adm-clerical;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Adm-clerical;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Adm-clerical;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Adm-clerical;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Adm-clerical;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Adm-clerical;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Adm-clerical;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Adm-clerical;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Adm-clerical;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Adm-clerical;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Adm-clerical;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Adm-clerical;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Adm-clerical;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Adm-clerical;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Adm-clerical;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Adm-clerical;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Adm-clerical;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Adm-clerical;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Craft-repair;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Craft-repair;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Exec-managerial;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Exec-managerial;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Exec-managerial;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Exec-managerial;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Exec-managerial;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Exec-managerial;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Exec-managerial;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Exec-managerial;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Exec-managerial;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Exec-managerial;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Exec-managerial;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Exec-managerial;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Exec-managerial;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Farming-fishing;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Farming-fishing;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Farming-fishing;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Handlers-cleaners;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Handlers-cleaners;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Handlers-cleaners;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Handlers-cleaners;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Handlers-cleaners;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Machine-op-inspct;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Machine-op-inspct;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Machine-op-inspct;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Machine-op-inspct;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Machine-op-inspct;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Machine-op-inspct;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Machine-op-inspct;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Other-service;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Other-service;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Other-service;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Other-service;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Other-service;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Other-service;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Other-service;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Other-service;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Other-service;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Other-service;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Other-service;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Other-service;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Other-service;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Other-service;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Other-service;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Other-service;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Other-service;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Other-service;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Other-service;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Other-service;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Other-service;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Other-service;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Other-service;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Other-service;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Other-service;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Other-service;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Other-service;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Other-service;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Other-service;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Other-service;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Other-service;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Other-service;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Other-service;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Other-service;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Other-service;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Other-service;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Other-service;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Other-service;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Other-service;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Other-service;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Other-service;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Other-service;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Other-service;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Other-service;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Other-service;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Other-service;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Other-service;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Other-service;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Other-service;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Other-service;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Other-service;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Other-service;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Other-service;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Other-service;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Other-service;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Other-service;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Other-service;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Other-service;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Other-service;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Other-service;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Other-service;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Other-service;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Other-service;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Other-service;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Other-service;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Other-service;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Other-service;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Other-service;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Other-service;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Other-service;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Other-service;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Other-service;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Other-service;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Other-service;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Other-service;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Other-service;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Other-service;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Other-service;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Other-service;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Other-service;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Other-service;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Other-service;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Other-service;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Other-service;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Other-service;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Other-service;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Other-service;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Other-service;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Other-service;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Other-service;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Other-service;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Other-service;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Other-service;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Other-service;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Other-service;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Other-service;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Other-service;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Priv-house-serv;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Priv-house-serv;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Prof-specialty;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Prof-specialty;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Prof-specialty;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Prof-specialty;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Prof-specialty;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Prof-specialty;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Prof-specialty;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Prof-specialty;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Prof-specialty;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Prof-specialty;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Prof-specialty;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Prof-specialty;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Prof-specialty;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Prof-specialty;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Prof-specialty;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Protective-serv;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Protective-serv;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Protective-serv;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Sales;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Sales;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Sales;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Sales;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Sales;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Sales;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Sales;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Sales;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Sales;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Sales;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Sales;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Sales;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Sales;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Sales;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Sales;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Sales;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Sales;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Sales;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Sales;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Sales;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Sales;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Sales;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Sales;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Sales;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Sales;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Sales;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Sales;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Sales;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Sales;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Sales;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Sales;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Sales;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Sales;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Sales;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Sales;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Sales;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Sales;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Sales;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Sales;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Sales;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Sales;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Sales;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Sales;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Sales;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Sales;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Sales;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Sales;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Sales;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Sales;<=50K
Female;0-19;White;Never-married;Higher education;North America;Private;Sales;<=50K
